,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
75,liat,berita,resesi,ekonomi,dunia,inflasi,turun,gelap,ngerti,ekonomi,dampak,mudah,dampak,major,moga,cari,nafkah,lancar,jauh,phk,,,,,,,,,,,,,,,,,,,,
76,tebar,informasi,resesi,bidang,ekonomi,fresh,graduate,ancam,susah,kerja,moga,ga,ancam,susah,dapet,jodoh,yaa,wkw,,,,,,,,,,,,,,,,,,,,,,
77,pikir,resesi,newly,wed,tahun,anak,kaya,yg,struggle,bangun,ekonomi,kocar,kacir,ga,tuh,,,,,,,,,,,,,,,,,,,,,,,,,
78,dunia,resesi,djp,sunset,policy,bikin,target,terima,negara,capai,apbn,jd,secure,ngebantuuu,bgt,ekonomi,aman,kalo,ekonomi,dunia,kayak,perintah,strategi,mitigasi,kayak,,,,,,,,,,,,,,,
79,udah,ngga,asa,ongkir,tanggal,tanggal,spesial,beda,turut,bagus,sih,tiada,free,ongkir,masyarakat,aware,uang,alami,resesi,ekonomi,global,ngga,sih,,,,,,,,,,,,,,,,,
80,kr,resesi,ekonomi,mungkin,utk,dpt,kerja,kl,antisipasi,gmn,kl,misa,hrs,kuliah,lg,sih,jujur,blm,niat,hehe,thanks,yaaa,,,,,,,,,,,,,,,,,,
81,work,resesi,ekonomi,mungkin,utk,dpt,kerja,kl,antisipasi,gmn,kl,misa,hrs,kuliah,lg,sih,jujur,blm,niat,hehe,thanks,yaaa,,,,,,,,,,,,,,,,,,
82,kr,nabung,bibit,worth,gak,resesi,ekonomi,takut,turun,mbanking,cepet,abis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,harap,gw,ya,zaman,mana,ekonomi,pariwisata,normal,ga,kayak,skrng,dunia,ekonomiam,gelap,resesi,efek,covid,ni,timbul,masalah,,,,,,,,,,,,,,,,,,,,
84,udh,bnyk,bgt,berita,global,resesi,ekonomi,sesuai,agenda,dunia,reset,tata,ulang,ngeri,sampe,sayang,nya,anak,muda,skrg,ga,sadar,mreka,cm,joget,tiktok,main,ml,ngeluh,twitter,pamer,senang,ig,nya,,,,,,
85,udh,bnyk,bgt,berita,global,resesi,ekonomi,sesuai,agenda,dunia,reset,tata,ulang,ngeri,sampe,sayang,nya,anak,muda,skrg,ga,sadar,mreka,cm,joget,tiktok,main,ml,ngeluh,twitter,pamer,senang,ig,nya,,,,,,
86,yg,saham,goreng,tp,dlu,aja,sdh,cuan,saham,yg,invest,resiko,tp,resesi,bom,indo,ekonomi,indo,kuat,berita,resesi,mana,fear,big,money,masuk,harga,diskon,wise,,,,,,,,,,,
87,ya,sisi,kadang,aware,sih,life,update,kyk,resesi,contoh,gilaa,kyk,gimana,ya,kalo,gaada,freelance,passive,income,side,job,ekonomi,emang,ga,tebak,,,,,,,,,,,,,,,
88,resesi,phk,ekonomi,buruk,mind,work,saving,think,something,control,udah,muak,fear,mongering,kayak,gin,,,,,,,,,,,,,,,,,,,,,,,,
89,berita,resesi,prediksi,krisis,ekonomi,bnr,bnr,bikin,sek,ya,imagine,fresh,grad,era,,,,,,,,,,,,,,,,,,,,,,,,,,
90,anak,l,gimana,gitu,ya,lahir,saat,krisis,moneter,dunia,pas,umur,prediksi,resesi,global,emang,anak,strong,yg,uji,ekonomi,dunia,yg,,,,,,,,,,,,,,,,,
